Repetition,Slope,Intercept,r2
1,1.8732735060674377,36.921335469720646,0.9607081018453903
2,1.693152871705663,37.536224032859586,0.9254300053867381
3,1.518367022865572,41.9098934530496,0.983602636837063
4,2.157763825838487,21.02793413335702,0.8842635854865323
5,2.1435360258651364,24.326434147724328,0.9070666504230386
6,1.6133901284919399,39.898593538234906,0.9008810265644819
7,1.9683329116801656,25.94560642423363,0.9880221940134771
8,1.6894825318633961,38.94950399496478,0.9505610782330008
9,1.8046007089722929,40.981229382571236,0.9302165878850402
10,2.022540411262816,30.431507474165315,0.9379055771263612
11,1.664520720694127,36.7443490938587,0.9146650229898334
12,1.645373290022094,38.41276723621068,0.900221387983981
13,1.6766805731587826,34.65013359224308,0.9212663682981143
14,1.8729437191028877,28.517549756484073,0.9002825024220787
15,1.8743906813391624,28.409716511374043,0.9182128211532954
16,1.8368229810627592,32.33529040832576,0.9775958146605186
17,1.9677033315664252,22.203893009948132,0.9131599143886765
18,1.5839258718940867,43.89585144205052,0.9754391827793942
19,1.9304208713672786,29.865806501362258,0.9441906261083287
20,2.1647970591315735,21.17073877656661,0.9311458785484333
21,1.8894525605879349,31.344176233287655,0.9399143996942214
22,1.4662450598753116,42.57064269086778,0.8864528018431076
23,2.2040211447143467,24.667531827429798,0.9817842213982826
24,1.9440960866930126,23.665325849780245,0.9212442136674518
25,1.706614862844354,29.610052288896597,0.9481423208844837
26,1.797389575728378,32.10625891885963,0.9973269041643962
27,1.8110673478831871,25.27826436071267,0.9363822692612029
28,1.8283323585485765,28.874571300350297,0.9602773926305475
29,2.7560786252661207,10.402914320844786,0.8601041524924317
30,1.6203338064552715,36.058118765786226,0.9951345746469709
Mean,1.8575216824182863,31.29040716453736,0.9363866737938958
SD,0.24898258441601634,7.581313241020375,0.03439241290319953
