LLDelay,IndiffPt
5.0,32.594259425942596
10.0,63.705870587058705
20.0,98.94089408940894
30.0,117.07770777077708
40.0,134.67196719671966
50.0,139.35343534353436
60.0,146.4996499649965
70.0,150.26652665266528
80.0,154.2039203920392
