File,Rep,Sched,P1,R1,B1,P2,R2,B2,SSMag,LLDelay,PropSS
ssmag115.xlsx,6,5,0.0,64.975,77.1,0.0,4.525,56.6,115.0,40.0,0.5766641735228123
ssmag115.xlsx,6,6,0.0,96.975,117.1,0.0,1.45,16.875,115.0,50.0,0.8740436648628476
ssmag115.xlsx,6,7,0.0,78.825,93.275,0.0,2.775,39.85,115.0,60.0,0.7006572769953052
ssmag115.xlsx,6,8,0.0,86.175,100.8,0.0,1.575,26.75,115.0,70.0,0.7902783222265778
ssmag115.xlsx,6,9,0.0,76.275,90.4,0.0,2.075,30.6,115.0,80.0,0.747107438016529
ssmag115.xlsx,7,1,0.0,0.05,0.05,0.0,82.05,342.85,115.0,5.0,0.0001458151064450277
ssmag115.xlsx,7,2,0.0,18.175,21.075,0.0,35.625,233.725,115.0,10.0,0.08271193092621665
ssmag115.xlsx,7,3,0.0,61.1,70.875,0.0,10.325,96.675,115.0,20.0,0.4230080572963294
ssmag115.xlsx,7,4,0.0,58.2,68.95,0.0,7.1,79.225,115.0,30.0,0.4653281592711321
ssmag115.xlsx,7,5,0.0,59.425,68.6,0.0,5.65,70.475,115.0,40.0,0.4932590328959195
ssmag115.xlsx,7,6,0.0,88.4,104.525,0.0,1.8,23.625,115.0,50.0,0.815645727662895
ssmag115.xlsx,7,7,0.0,88.35,103.875,0.0,1.675,27.0,115.0,60.0,0.7936962750716332
ssmag115.xlsx,7,8,0.0,68.625,81.075,0.0,2.775,42.95,115.0,70.0,0.6536988510380971
ssmag115.xlsx,7,9,0.0,85.975,101.075,0.0,1.825,30.175,115.0,80.0,0.7700952380952382
ssmag115.xlsx,8,1,0.0,26.125,30.575,0.0,61.525,255.2,115.0,5.0,0.10698976467500657
ssmag115.xlsx,8,2,0.0,15.025,17.925,0.0,34.975,238.825,115.0,10.0,0.06981499513145083
ssmag115.xlsx,8,3,0.0,43.35,50.725,0.0,12.25,119.65,115.0,20.0,0.29772560528246517
ssmag115.xlsx,8,4,0.0,65.65,76.675,0.0,5.725,66.525,115.0,30.0,0.5354399441340782
ssmag115.xlsx,8,5,0.0,76.05,89.975,0.0,3.025,39.925,115.0,40.0,0.6926481909160894
ssmag115.xlsx,8,6,0.0,72.275,85.8,0.0,3.25,45.45,115.0,50.0,0.6537142857142857
ssmag115.xlsx,8,7,0.0,74.225,87.975,0.0,2.35,34.125,115.0,60.0,0.7205159705159705
ssmag115.xlsx,8,8,0.0,81.0,95.025,0.0,2.0,29.675,115.0,70.0,0.7620288692862871
ssmag115.xlsx,8,9,0.0,88.175,104.35,0.0,1.725,20.5,115.0,80.0,0.8358029635562675
ssmag115.xlsx,9,1,0.0,0.075,0.075,0.0,81.875,342.175,115.0,5.0,0.0002191380569758948
ssmag115.xlsx,9,2,0.0,12.5,14.65,0.0,37.625,249.4,115.0,10.0,0.05548191630373035
ssmag115.xlsx,9,3,0.0,45.175,53.425,0.0,12.7,116.55,115.0,20.0,0.3143109280776585
ssmag115.xlsx,9,4,0.0,70.9,83.975,0.0,4.175,48.775,115.0,30.0,0.6325800376647834
ssmag115.xlsx,9,5,0.0,61.95,73.1,0.0,4.775,61.7,115.0,40.0,0.5422848664688427
ssmag115.xlsx,9,6,0.0,68.375,80.125,0.0,3.175,44.35,115.0,50.0,0.643703554930709
ssmag115.xlsx,9,7,0.0,86.5,104.075,0.0,1.475,23.85,115.0,60.0,0.8135626343560679
ssmag115.xlsx,9,8,0.0,81.575,96.75,0.0,1.775,26.0,115.0,70.0,0.7881873727087576
ssmag115.xlsx,9,9,0.0,82.25,96.725,0.0,1.825,28.2,115.0,80.0,0.7742645587352411
ssmag115.xlsx,10,1,0.0,1.025,1.35,0.0,80.6,342.325,115.0,5.0,0.003928129773768822
ssmag115.xlsx,10,2,0.0,12.625,14.85,0.0,38.475,252.35,115.0,10.0,0.055576347305389226
ssmag115.xlsx,10,3,0.0,62.575,73.25,0.0,9.125,90.45,115.0,20.0,0.44746487477092245
ssmag115.xlsx,10,4,0.0,70.35,83.175,0.0,4.4,51.825,115.0,30.0,0.616111111111111
ssmag115.xlsx,10,5,0.0,81.95,97.0,0.0,2.6,34.975,115.0,40.0,0.7349876870619436
ssmag115.xlsx,10,6,0.0,74.625,87.975,0.0,2.925,34.1,115.0,50.0,0.7206635265205816
ssmag115.xlsx,10,7,0.0,79.675,94.325,0.0,2.375,30.775,115.0,60.0,0.7539968025579536
ssmag115.xlsx,10,8,0.0,72.925,85.825,0.0,2.275,35.525,115.0,70.0,0.7072517511330861
ssmag115.xlsx,10,9,0.0,84.175,100.275,0.0,1.95,25.05,115.0,80.0,0.8001196888090963
ssmag115.xlsx,11,1,0.0,0.125,0.2,0.0,82.8,343.475,115.0,5.0,0.0005819451516694552
ssmag115.xlsx,11,2,0.0,16.525,19.125,0.0,34.975,227.4,115.0,10.0,0.07757833891086097
ssmag115.xlsx,11,3,0.0,49.2,58.225,0.0,11.8,117.825,115.0,20.0,0.33072990627662596
ssmag115.xlsx,11,4,0.0,62.75,73.825,0.0,6.2,68.575,115.0,30.0,0.5184339887640449
ssmag115.xlsx,11,5,0.0,63.8,74.8,0.0,4.5,60.975,115.0,40.0,0.5509114343583134
ssmag115.xlsx,11,6,0.0,92.75,109.475,0.0,1.55,19.875,115.0,50.0,0.846347120216467
ssmag115.xlsx,11,7,0.0,85.4,100.7,0.0,2.025,27.75,115.0,60.0,0.7839626313740756
ssmag115.xlsx,11,8,0.0,88.225,105.2,0.0,1.55,22.625,115.0,70.0,0.8230001955798943
ssmag115.xlsx,11,9,0.0,79.475,92.8,0.0,1.825,30.65,115.0,80.0,0.7517213446739571
ssmag115.xlsx,12,1,0.0,0.05,0.05,0.0,82.7,346.4,115.0,5.0,0.00014432096983691732
ssmag115.xlsx,12,2,0.0,28.3,33.1,0.0,31.2,201.225,115.0,10.0,0.14125680145097622
ssmag115.xlsx,12,3,0.0,48.025,57.1,0.0,12.125,114.95,115.0,20.0,0.33188026736413834
ssmag115.xlsx,12,4,0.0,86.675,102.975,0.0,4.275,47.725,115.0,30.0,0.6833112143331121
ssmag115.xlsx,12,5,0.0,80.15,93.75,0.0,3.25,39.85,115.0,40.0,0.7017215568862276
ssmag115.xlsx,12,6,0.0,73.725,87.025,0.0,2.975,42.4,115.0,50.0,0.672397141201468
ssmag115.xlsx,12,7,0.0,76.475,90.3,0.0,2.425,33.9,115.0,60.0,0.7270531400966184
ssmag115.xlsx,12,8,0.0,85.55,101.2,0.0,1.875,25.675,115.0,70.0,0.7976354679802956
ssmag115.xlsx,12,9,0.0,87.65,104.325,0.0,1.25,19.8,115.0,80.0,0.8404833836858007
ssmag115.xlsx,13,1,0.0,7.95,9.225,0.0,74.125,317.225,115.0,5.0,0.028258538826772855
ssmag115.xlsx,13,2,0.0,21.2,24.95,0.0,33.85,223.375,115.0,10.0,0.1004731702406121
ssmag115.xlsx,13,3,0.0,49.225,58.175,0.0,11.175,116.8,115.0,20.0,0.3324760680097157
ssmag115.xlsx,13,4,0.0,59.875,70.25,0.0,6.2,74.875,115.0,30.0,0.48406546080964685
ssmag115.xlsx,13,5,0.0,92.75,110.075,0.0,2.1,24.425,115.0,40.0,0.8184014869888476
ssmag115.xlsx,13,6,0.0,81.75,97.725,0.0,2.7,37.05,115.0,50.0,0.7250973845297719
ssmag115.xlsx,13,7,0.0,99.2,117.675,0.0,0.975,12.5,115.0,60.0,0.9039754177069329
ssmag115.xlsx,13,8,0.0,96.9,113.625,0.0,0.775,14.275,115.0,70.0,0.8883893666927286
ssmag115.xlsx,13,9,0.0,85.25,100.05,0.0,1.7,25.05,115.0,80.0,0.7997601918465228
