File,Sched,Rep,Rep,P1,P1,R1,R1,B1,B1,P2,P2,R2,R2,B2,B2,SSMag,SSMag,LLDelay,LLDelay,PropSS,PropSS
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ssmag115.xlsx,1,15.5,8.803408430829505,0.0,0.0,4.964166666666667,9.279437509273167,5.816666666666666,10.841489856050716,0.0,0.0,78.02833333333334,7.223189826134152,328.4058333333333,30.415853173659457,115.0,0.0,5.0,0.0,0.019590400760902658,0.039100947742320924
ssmag115.xlsx,2,15.5,8.803408430829505,0.0,0.0,14.97,9.807002688086605,17.5175,11.540681697877476,0.0,0.0,36.141666666666666,3.681403249449518,239.88500000000002,25.45024523965576,115.0,0.0,10.0,0.0,0.07064130931320672,0.05032099701167039
ssmag115.xlsx,3,15.5,8.803408430829505,0.0,0.0,49.225833333333334,12.280309939600208,57.94583333333333,14.391649403646243,0.0,0.0,11.673333333333334,2.5589088236621667,113.27583333333334,24.90740047495001,115.0,0.0,20.0,0.0,0.34468439195153816,0.10625423281415061
ssmag115.xlsx,4,15.5,8.803408430829505,0.0,0.0,65.28,11.810747954358323,77.05749999999999,14.10630842920996,0.0,0.0,5.861666666666666,1.5242682435060175,67.6225,17.96121821909063,115.0,0.0,30.0,0.0,0.5354864909377036,0.10901331440789126
ssmag115.xlsx,5,15.5,8.803408430829505,0.0,0.0,75.47166666666666,9.863833130329633,88.89083333333333,11.676053971722414,0.0,0.0,3.5616666666666665,0.9438031403932136,45.3175,12.643471720819894,115.0,0.0,40.0,0.0,0.663058501265359,0.09085149203652115
ssmag115.xlsx,6,15.5,8.803408430829505,0.0,0.0,75.36916666666666,8.751925116631561,88.99,10.70182791347605,0.0,0.0,2.9166666666666665,0.6830248813225966,39.85333333333333,10.282204943772863,115.0,0.0,50.0,0.0,0.6905631133788561,0.07905853050585665
ssmag115.xlsx,7,15.5,8.803408430829505,0.0,0.0,78.04333333333334,9.906989724547962,91.87583333333333,11.901732131496033,0.0,0.0,2.3883333333333336,0.7514851196513948,34.48833333333334,11.273951005054434,115.0,0.0,60.0,0.0,0.7267957523523847,0.08912843408827899
ssmag115.xlsx,8,15.5,8.803408430829505,0.0,0.0,81.3925,8.305508532459564,95.97,9.655814756958092,0.0,0.0,1.945,0.5617245612919385,28.694166666666668,9.013875040576414,115.0,0.0,70.0,0.0,0.7696079625887366,0.07286043121701505
ssmag115.xlsx,9,15.5,8.803408430829505,0.0,0.0,82.86416666666668,5.827286747134837,97.6275,6.983787722165947,0.0,0.0,1.7366666666666668,0.35729668280048427,25.653333333333332,5.765771972319196,115.0,0.0,80.0,0.0,0.7915439673848886,0.04819764146259536
ssmag135.xlsx,1,15.5,8.803408430829505,0.0,0.0,2.0425,3.3802427351117648,2.3608333333333333,3.922886446828744,0.0,0.0,79.66916666666665,3.709248014535202,335.9808333333333,13.732025372585543,135.0,0.0,5.0,0.0,0.007309537056915557,0.012398542424424763
ssmag135.xlsx,2,15.5,8.803408430829505,0.0,0.0,8.294166666666666,7.144854922796969,9.504999999999999,8.2909599710395,0.0,0.0,38.56916666666667,4.008448423563388,255.1125,25.633570686127403,135.0,0.0,10.0,0.0,0.03810524500677675,0.035662121838368435
ssmag135.xlsx,3,15.5,8.803408430829505,0.0,0.0,32.5675,9.899958964561419,37.62,11.530468259175862,0.0,0.0,13.989166666666668,2.295729575017318,135.12,21.554763254684964,135.0,0.0,20.0,0.0,0.2221833579095428,0.08072982813748383
ssmag135.xlsx,4,15.5,8.803408430829505,0.0,0.0,41.485,9.462017081012874,48.0625,11.02817658905181,0.0,0.0,8.331666666666667,1.5086236781579594,96.66666666666667,18.03236593640357,135.0,0.0,30.0,0.0,0.3364430940657319,0.09389626395360719
ssmag135.xlsx,5,15.5,8.803408430829505,0.0,0.0,54.14416666666667,9.203074550288122,62.6725,10.521309144811289,0.0,0.0,4.9375,1.050918112561747,63.93333333333333,14.908184996338667,135.0,0.0,40.0,0.0,0.4983745054787468,0.09905088269776187
ssmag135.xlsx,6,15.5,8.803408430829505,0.0,0.0,56.77916666666667,7.542754811319148,65.80083333333333,8.989108551879392,0.0,0.0,3.9949999999999997,0.7296491835358159,54.475,10.04907784412288,135.0,0.0,50.0,0.0,0.5478162449145471,0.07803497191621991
ssmag135.xlsx,7,15.5,8.803408430829505,0.0,0.0,60.29833333333333,7.933272179325778,69.82083333333334,9.108127015467284,0.0,0.0,3.0983333333333336,0.6535029395144469,44.97083333333333,10.46861706469037,135.0,0.0,60.0,0.0,0.6093136252441493,0.08572070215016346
ssmag135.xlsx,8,15.5,8.803408430829505,0.0,0.0,62.309999999999995,7.737616914608874,72.17166666666667,8.92938468874201,0.0,0.0,2.6824999999999997,0.5054935280461578,40.015,7.85479098253482,135.0,0.0,70.0,0.0,0.6427694374440052,0.07211496579653277
ssmag135.xlsx,9,15.5,8.803408430829505,0.0,0.0,60.09166666666667,7.816079065236162,69.68249999999999,9.250932268956875,0.0,0.0,2.578333333333333,0.5176927149636519,39.83083333333333,9.149872062732234,135.0,0.0,80.0,0.0,0.6363465111035603,0.08124791671926827
ssmag15.xlsx,1,15.5,8.803408430829505,0.0,0.0,216.72833333333335,99.62909982334075,323.12333333333333,148.5319742271545,0.0,0.0,18.581666666666667,29.46599803553046,77.78916666666667,123.3211937981418,15.0,0.0,5.0,0.0,0.7846200126234696,0.35191757497185483
